2025-02-12T06:56:15.151Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:15.151Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:15.153Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:15.154Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:15.154Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:25.144Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:25.145Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:25.145Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:25.147Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:25.147Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:25.148Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:25.149Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:25.150Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:25.151Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:35.081Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:35.082Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:35.083Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:35.221Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:35.222Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:35.222Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:35.226Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:35.227Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:35.228Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:45.150Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:45.151Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:45.152Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:45.153Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:45.154Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:45.155Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:45.156Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:45.157Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:45.158Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:55.116Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:55.116Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:55.117Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:55.118Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:55.119Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:55.119Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:55.161Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:55.162Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:55.163Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:05.100Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:05.101Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:05.102Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:05.103Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:05.104Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:05.105Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:05.106Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:05.107Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:05.108Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:05.847Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:05.847Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:05.848Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:15.101Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:15.101Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:15.102Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:15.106Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:15.106Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:15.107Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:15.112Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:15.113Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:15.114Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:15.145Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:15.146Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:15.146Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:25.116Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:25.117Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:25.118Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:25.141Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:25.142Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:25.142Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:25.174Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:25.175Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:25.175Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:25.177Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:25.177Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:25.178Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:35.086Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:35.087Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:35.088Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:35.101Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:35.102Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:35.103Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:35.147Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:35.148Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:35.148Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:35.187Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:35.188Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:35.188Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:45.110Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:45.111Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:45.111Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:45.116Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:45.117Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:45.117Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:45.141Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:45.141Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:45.142Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:45.191Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:45.192Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:45.193Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:55.107Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:55.107Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:55.108Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:55.147Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:55.148Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:55.148Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:55.152Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:55.153Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:55.153Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:57:55.200Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:57:55.201Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:57:55.202Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:05.195Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:05.196Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:05.197Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:05.198Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:05.199Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:05.199Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:05.201Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:05.201Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:05.202Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:05.204Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:05.204Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:05.205Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:05.922Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:05.923Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:05.923Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:15.136Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:15.137Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:15.138Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:15.139Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:15.140Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:15.141Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:15.178Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:15.180Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:15.180Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:15.182Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:15.183Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:15.183Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:15.265Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:15.266Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:15.267Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:25.153Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:25.154Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:25.155Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
